PlayerID,PlayerName,WR_ID
752,Andrey Rjabko,
753,Artjom Lvov,
754,Anton Filenko,
756,Nikita Rumyantsev,
757,Alexander Surovyj,
759,Oleg Andrianov,
760,Albert Vahitov,
761,Kirill Ljubakin,
763,Pjotr Kulis,
766,Maksym Peskov,
767,Oleg Bublikov,
768,Nik Kosenko,
770,Valeriy Skorokhod,310129
771,Bogdan Bilovusyak,
773,Yuriy Perevjazko,658282
774,Ivan Talovera,655225
775,Yuri Ketov,
776,Pavel Churilin,656239
777,Muzaffar Avliyaev,
778,Mykhailo Bibik,
799,Dmytro Chekmak,
801,Maksym Peskov,
802,Bogdan Bilovysak,
804,Ivan Vladymyrskyi,
805,Maxim Peskov,
806,Bogdan Bilovysak,
807,Bogdan Bilovysak,
809,Dmitriy Donec,
811,Nadeliaiev Kyrylo,
812,Ogurtsov Danylo,
814,Mykyta Gurenko,
815,Anton Fedorov,
816,Mykyta Utkin,
819,Vadym Blazhenko,
820,Artem Blazhenko,
821,Pavlo Kostynskyi,
822,Vladyslav Los',
823,Nikita Utkin,
824,Oleg Yarmolenko,
827,Nikolay Vorontsov,
828,Alexey Ziborov,
829,Sergey Likhushin,
830,Nekhoroshih Igor,
831,Eliseev Alexey,
832,Alexey Plokhikh,
833,Kadlubitskiy Maxim,
834,Sergey Protasov,240269
835,Alexander Churilin,656233
838,Danekin Stepan,
840,Savitskiy Timophiy,
841,Dmytro D. Afanasyev,
842,Oles Kondrashevskyy,
843,Martynenko Maria,
845,Sergey Petrenko,
849,Sologub Sergiy,
850,Sologub Volodymyr,
851,Yevgeny Mogilatov,
852,Dmitriy Afanasyev,
853,Dmytro G. Afanasyev,
854,Roman Filenko,
855,Kirill Prokhorov,
861,Lev Stepanov,
862,Dmitriy Polyakov,
863,0 0,
864,Aljoshina Elena,
865,Borodulin Daniil,
866,Ushakov Mikhail,
867,Maria Martynenko,
868,Dzhura Alexey,
869,Smirnov Egor,
870,Konstantin Gareev,662167
871,Sergey Gorlov,
872,Alexandr Alexeev,
873,Alexeev Vyacheslav,
875,Dmitriev Petr,
876,Bezrukov Dmitriy,
877,Krovyakov Alexander,
878,Borisov Nikolay,
879,Andrey Bezrukov,
880,Kozyrev Andrey,
882,Viktoriya Noselivska,658424
883,Ielizaveta Ignatenko,658425
884,Victor Soldatenko,
885,Milos Sevr,70026
886,Petr Tmej,70418
887,Ladislav Tmej,70432
888,Michal Hvizd,70181
889,Jakub Sladek,70386
890,Sergey Korotkiy,240704
891,- -,
892,- -,
893,Raivis Pukinskis,200224
894,Jevgēnijs Zaharovs,200313
895,Valts Smagars,200261
896,Artjoms Zaharovs,200312
897,Edgars Mucenieks,200185
900,Sergiy Krasiuk,
904,Atis Sīlis,200250
906,Carl Bindekrans,280061
907,Andris Liepins,654999
908,Netta Jousi,100080
911,Edgars Saulītis,200241
912,Kārlis Balodis,200667
913,Didzis Ziemelis,200323
914,Kazakov Ruslan,
918,Valiev Artem,
920,Efendiev Arsen,
921,Kapelkyn Oleg,
922,Anatoliy Datsenko,310015
925,Iefremov Ievgen,
926,Nadzharyan Ashot,
927,Igor Scherbakov,656048
928,Bublikov Oleg,
929,Dmitry Barakhov,
931,Romaniuk Andriy,
932,Sergey Sammal,654699
936,Sergey Legostaev,657753
937,Vasylkov Mykola,
938,Grynenko Sergiy,
939,Vitaliy Vashcuk,
940,Oleksii Losenko,
941,Roman Romaniuk,
942,Петр Андрусенко,
946,Nikita Pavlov,654457
947,Oleksiy Vedernikov,
948,Vitaliy Donets,
949,Sergiy Vladimirov,
950,denis Opara,
951,Opara Denis,
953,Valeriy Kuznetsov,
954,Timur Kochetov,
956,Vitaly Vaschuk,658742
959,Aleksandr Duyev,
961,Mykhailo Bibik,
962,Martynenko Maria,
965,Belousov Aleksandr,
966,Belousov Nikita,
967,Viktor Bobkov,
968,Олесь Кондрашевский,
969,Tetyana Shalomayeva,
970,Igor Yavnikov,
971,Andriy Dugin,
972,Roman Luchnikov,656498
973,Vyacheslav Luchnikov,
974,Sergiy Bilonozhko,
975,Ivan Gurkin,
976,Oleksiy Gurkin,
978,Yarov Pavel,
979,Kristaps Zarinieks,200318
980,Jorens Leskovičs,200156
981,Rodionov Alexander,
982,sannikova svetlana,
983,Ilia Ignatenko,659345
984,Sorokin Igor,
986,Ilin Ilya,
